screen_y,rows_below_horizon,depth_world_units,pixels_per_world_unit,road_half_width_px,left_edge_px,right_edge_px,camera_right_25_shift_px
125,29,551.7241379310345,0.29,26.099999999999998,133.9,186.1,-7.249999999999999
126,30,533.3333333333334,0.3,27.0,133.0,187.0,-7.5
127,31,516.1290322580645,0.31,27.9,132.1,187.9,-7.75
128,32,500.0,0.32,28.8,131.2,188.8,-8.0
129,33,484.8484848484849,0.32999999999999996,29.699999999999996,130.3,189.7,-8.249999999999998
130,34,470.5882352941176,0.34,30.6,129.4,190.6,-8.5
131,35,457.14285714285717,0.35,31.499999999999996,128.5,191.5,-8.75
132,36,444.44444444444446,0.36,32.4,127.6,192.4,-9.0
133,37,432.43243243243245,0.37,33.3,126.7,193.3,-9.25
134,38,421.05263157894734,0.38,34.2,125.8,194.2,-9.5
135,39,410.2564102564103,0.38999999999999996,35.099999999999994,124.9,195.1,-9.749999999999998
136,40,400.0,0.4,36.0,124.0,196.0,-10.0
137,41,390.2439024390244,0.41,36.9,123.1,196.9,-10.25
138,42,380.95238095238096,0.42,37.8,122.2,197.8,-10.5
139,43,372.09302325581393,0.43000000000000005,38.7,121.3,198.7,-10.750000000000002
140,44,363.6363636363636,0.44,39.6,120.4,199.6,-11.0
141,45,355.55555555555554,0.45,40.5,119.5,200.5,-11.25
142,46,347.82608695652175,0.45999999999999996,41.4,118.6,201.4,-11.5
143,47,340.4255319148936,0.47000000000000003,42.300000000000004,117.69999999999999,202.3,-11.75
144,48,333.3333333333333,0.48000000000000004,43.2,116.8,203.2,-12.000000000000002
145,49,326.53061224489795,0.49,44.1,115.9,204.1,-12.25
146,50,320.0,0.5,45.0,115.0,205.0,-12.5
147,51,313.72549019607845,0.51,45.9,114.1,205.9,-12.75
148,52,307.6923076923077,0.52,46.800000000000004,113.19999999999999,206.8,-13.0
149,53,301.8867924528302,0.5299999999999999,47.699999999999996,112.30000000000001,207.7,-13.249999999999998
150,54,296.2962962962963,0.54,48.6,111.4,208.6,-13.5
151,55,290.90909090909093,0.5499999999999999,49.49999999999999,110.5,209.5,-13.749999999999998
152,56,285.7142857142857,0.5599999999999999,50.39999999999999,109.60000000000001,210.39999999999998,-13.999999999999998
153,57,280.70175438596493,0.57,51.3,108.7,211.3,-14.249999999999998
154,58,275.86206896551727,0.58,52.199999999999996,107.80000000000001,212.2,-14.499999999999998
155,59,271.1864406779661,0.59,53.099999999999994,106.9,213.1,-14.75
156,60,266.6666666666667,0.6,54.0,106.0,214.0,-15.0
157,61,262.2950819672131,0.6100000000000001,54.900000000000006,105.1,214.9,-15.250000000000002
158,62,258.06451612903226,0.62,55.8,104.2,215.8,-15.5
159,63,253.96825396825398,0.63,56.7,103.3,216.7,-15.75
160,64,250.0,0.64,57.6,102.4,217.6,-16.0
161,65,246.15384615384616,0.65,58.5,101.5,218.5,-16.25
162,66,242.42424242424244,0.6599999999999999,59.39999999999999,100.60000000000001,219.39999999999998,-16.499999999999996
163,67,238.80597014925374,0.6699999999999999,60.3,99.7,220.3,-16.75
